PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Sex,Birthday,Day 1 Filming date,Age,,VVp,VAPi
284,19,Mick Trimming,1.17,11.18,0.10,0,13,4,108,14,0.93,3.25,10,0,9,0.000,1.03,4.42,39,3,1,1,0.93,0.07,4.42,0,0,9,1,9,1,0.11,5,0,6,1,11,1,0.091,0,0,0,4,0.29,9,0.69,M,,,,,,4
285,19,Brett Clouser,3.98,11.01,0.36,2,6,3,82,10,0.60,2.40,9,0,9,0,0.96,6.38,38,4,1,4,0.60,0.40,6.38,0,0,9,3,9,3,0.33,5,3,6,3,11,6,0.545,0,0,0,1,0.10,6,0.86,M,,,,,,3
286,19,Jaison Robinson,2.63,10.14,0.26,0,12,7,104,13,0.92,2.35,10,0,9,0,1.18,4.97,37,5,1,1,0.92,0.08,4.97,0,0,8,2,8,2,0.25,5,1,6,1,11,2,0.182,0,0,0,3,0.23,8,0.73,M,,,,,,7
287,19,Shambo Waters,1.28,9.30,0.14,4,3,6,73,8,0.36,1.05,6,0,9,0,0.50,2.33,36,6,1,5,0.38,0.63,2.33,0,0,7,0,7,0,0.00,5,3,6,3,11,6,0.545,0,0,0,2,0.25,6,0.75,F,,,,,,6
288,19,Monica Padilla,1.00,7.68,0.13,2,4,7,67,7,0.56,1.45,5,0,9,0,0.69,2.45,33,7,1,3,0.57,0.43,2.45,0,0,6,0,6,0,0.00,4,3,6,3,10,6,0.600,0,0,0,2,0.29,5,0.71,F,,,,,,7
289,19,Dave Ball,1.31,6.84,0.19,3,3,8,60,6,0.48,1.17,4,0,9,0,0.82,2.48,31,8,1,3,0.50,0.50,2.48,0,0,5,0,5,0,0.00,4,3,6,4,10,7,0.700,0,0,0,2,0.33,4,0.67,M,,,,,,8
290,19,John Fincher,1.94,5.80,0.34,2,2,7,52,5,0.37,1.02,4,0,9,0,0.71,2.96,30,9,1,3,0.40,0.60,2.96,0,0,4,1,4,1,0.25,4,2,6,4,10,6,0.600,0,0,0,1,0.20,3,0.75,M,,,,,,7
291,19,Laura Morett,2.94,4.68,0.63,3,2,5,43,4,0.47,1.56,3,0,9,0,1.10,4.50,27,10,1,2,0.50,0.50,4.50,0,0,3,2,3,2,0.67,4,2,6,4,10,6,0.600,0,0,0,1,0.25,1,0.50,F,,,,,,5
292,19,Kelly Sharbaugh,0.94,3.48,0.27,2,2,4,33,3,0.63,2.33,2,0,9,0,0.90,3.28,24,11,1,1,0.67,0.33,3.28,0,0,2,0,2,0,0.00,3,1,6,5,9,6,0.667,0,0,0,1,0.33,2,0.67,F,,,,,,4
293,19,Erik Cardona,0.94,2.40,0.39,1,1,10,22,2,0.27,1.00,1,0,9,0,0.67,1.94,21,12,1,1,0.50,0.50,1.94,0,0,1,0,1,0,0.00,2,2,6,4,8,6,0.750,0,0,0,1,0.50,1,0.50,M,,,,,,10
294,19,Liz Kim,0.29,1.40,0.21,0,4,5,36,5,0.77,2.49,3,0,9,0,0.98,2.78,18,13,1,1,0.80,0.20,2.78,0,0,0,0,0,0,#DIV/0!,2,0,6,1,8,1,0.125,0,0,0,2,0.40,3,0.60,F,,,,,,5
295,19,Russell Swan*,0.88,1.04,0.84,1,1,9,19,2,0.26,1.08,1,0,9,0,1.10,1.95,15,14,1,1,0.50,0.50,1.95,0,0,0,0,0,0,#DIV/0!,1,1,5,4,6,5,0.833,0,0,0,1,0.50,1,0.50,M,,,,,,9
296,19,Ashley Trainer,0.17,0.88,0.19,0,3,9,31,4,0.68,1.62,1,0,9,0,0.87,1.78,14,15,1,1,0.75,0.25,1.78,0,0,0,0,0,0,#DIV/0!,1,0,5,1,6,1,0.167,0,0,0,3,0.75,1,0.25,F,,,,,,9
297,19,Yasmin Giles,0.21,0.67,0.32,1,0,8,10,1,-0.80,0.00,0,0,9,0,-0.48,0.21,11,16,1,1,0.00,1.00,0.21,0,0,0,0,0,0,#DIV/0!,0,0,4,2,4,2,0.500,0,0,0,1,1.00,0,0.00,F,,,,,,8
298,19,Ben Browning,0.00,0.38,0.00,0,2,7,25,3,0.57,1.70,1,0,9,0,0.57,1.70,8,17,1,1,0.67,0.33,1.70,0,0,0,0,0,0,#DIV/0!,0,0,3,0,3,0,0.000,0,0,0,2,0.67,1,0.33,M,,,,,,7
299,19,Betsy Bolan,0.00,0.21,0.00,0,0,7,18,2,-0.19,0.00,1,0,9,0,-0.19,0.00,6,18,1,2,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,0,1,0.50,1,0.50,F,,,,,,7
300,19,Mike Borassi *,0.00,0.21,0.00,0,1,9,19,2,0.26,1.08,1,0,9,0,0.26,1.08,5,19,1,1,0.50,0.50,1.08,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,0,1,0.50,1,0.50,M,,,,,,9
301,19,Marisa Calihan,0.13,0.23,0.56,0,0,7,10,1,-0.70,0.00,0,0,9,0,-0.14,0.13,3,20,1,1,0.00,1.00,0.13,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,,,,,,7
17,2,Tina Wesson,0.59,13.09,0.05,0,11,0,73,11,1.00,7.00,10,4,7,0.57,1.62,11.02,42,1,1,0,1.00,0.00,7.59,3,0,8,0,11,0,0.00,6,2,5,2,11,4,0.364,0,0,0,7,0.64,4,0.36,F,12/26/1961,10/23/2000,38.8,,,0
18,2,Colby Donaldson,8.09,13.09,0.62,0,10,5,73,11,0.90,2.83,9,3,7,0.43,1.95,13.49,42,2,1,1,0.91,0.09,10.92,3,2,8,5,11,7,0.64,6,3,5,2,11,5,0.455,0,0,0,8,0.73,-4,-0.67,M,4/1/1974,10/23/2000,26.6,,,5
19,2,Keith Famie,2.59,13.09,0.20,0,9,8,73,11,0.81,1.91,6,0,7,0,1.01,4.50,41,3,1,2,0.82,0.18,4.50,3,0,8,2,11,2,0.18,6,2,5,2,11,4,0.364,0,0,0,11,1.00,-2,-0.22,M,2/11/1960,10/23/2000,40.7,,,8
20,2,Elisabeth Filarski,0.97,12.03,0.08,0,4,5,64,9,0.44,1.38,7,0,7,0,0.52,2.35,39,4,1,5,0.44,0.56,2.35,3,0,7,0,10,0,0.00,6,3,5,3,11,6,0.545,0,0,0,9,1.00,0,0.00,F,5/28/1977,10/23/2000,23.4,,,5
21,2,Rodger Bingham,0.57,10.03,0.06,2,4,5,60,8,0.49,1.56,6,0,7,0,0.55,2.13,36,5,1,4,0.50,0.50,2.13,2,0,6,0,8,0,0.00,6,1,5,3,11,4,0.364,0,0,0,8,1.00,0,0.00,M,7/5/1947,10/23/2000,53.3,,,5
22,2,Amber Brkich,0.59,9.09,0.07,0,5,6,61,8,0.61,1.75,6,0,7,0,0.68,2.34,33,6,1,3,0.63,0.38,2.34,2,0,5,0,7,0,0.00,6,2,5,2,11,4,0.364,0,0,0,8,1.00,0,0.00,F,8/11/1978,10/23/2000,22.2,,,6
23,2,Nick Brown,1.97,7.03,0.28,0,3,4,49,6,0.49,1.75,5,0,7,0,0.77,3.72,30,7,1,3,0.50,0.50,3.72,1,0,4,1,5,1,0.20,6,3,5,3,11,6,0.545,0,0,0,6,1.00,-1,-0.20,M,4/2/1977,10/23/2000,23.6,,,4
24,2,Jerri Manthey,2.09,6.09,0.34,0,4,12,48,6,0.63,1.17,2,0,7,0,0.97,3.26,27,8,1,2,0.67,0.33,3.26,1,1,3,0,4,1,0.25,6,3,5,2,11,5,0.455,0,0,0,6,1.00,-1,-0.17,F,9/5/1970,10/23/2000,30.1,,,12
25,2,Alicia Calaway,0.97,4.53,0.21,0,2,5,34,4,0.46,1.56,3,0,7,0,0.68,2.53,24,9,1,2,0.50,0.50,2.53,1,0,2,0,3,0,0.00,5,3,5,3,10,6,0.600,0,0,0,4,1.00,0,0.00,F,5/1/1968,10/23/2000,32.5,,,5
26,2,Jeff Varner,0.97,2.53,0.38,0,2,7,25,3,0.57,1.70,0,0,7,0,0.96,2.67,21,10,1,1,0.67,0.33,2.67,0,0,1,0,1,0,0.00,5,3,5,3,10,6,0.600,0,0,0,3,1.00,0,0.00,M,4/16/1966,10/23/2000,34.5,,,7
27,2,Mike Skupin*,0.97,1.53,0.64,0,2,0,15,2,0.57,1.87,2,0,7,0,1.21,2.84,17,11,1,0,1.00,0.00,2.84,0,0,0,0,0,0,#DIV/0!,5,3,5,3,10,6,0.600,0,0,0,2,1.00,0,0.00,M,,10/23/2000,100.8,,,0
28,2,Kimmi Kappenberg,0.57,1.33,0.43,1,1,6,15,2,0.30,1.40,1,0,7,0,0.73,1.97,15,12,1,1,0.50,0.50,1.97,0,0,0,0,0,0,#DIV/0!,4,1,5,3,9,4,0.444,0,0,0,2,1.00,0,0.00,F,11/11/1972,10/23/2000,27.9,,,6
29,2,Mitchell Olson,0.39,0.99,0.40,0,2,4,21,3,0.60,2.33,1,0,7,0,1.00,2.73,12,13,1,1,0.67,0.33,2.73,0,0,0,0,0,0,#DIV/0!,3,2,4,1,7,3,0.429,0,0,0,3,1.00,0,0.00,M,3/17/1977,10/23/2000,23.6,,,4
30,2,Maralyn Hershey,0.39,0.66,0.59,0,1,5,15,2,0.33,1.56,1,0,7,0,0.93,1.95,9,14,1,1,0.50,0.50,1.95,0,0,0,0,0,0,#DIV/0!,2,2,3,1,5,3,0.600,0,0,0,2,1.00,0,0.00,F,1/24/1949,10/23/2000,51.7,,,5
31,2,Kel Gleason,0.25,0.38,0.67,0,0,7,8,1,-0.88,0.00,0,0,7,0,-0.21,0.25,6,15,1,1,0.00,1.00,0.25,0,0,0,0,0,0,#DIV/0!,1,1,2,1,3,2,0.667,0,0,0,1,1.00,0,0.00,M,,10/23/2000,100.8,,,7
32,2,Debb Eaton,0.00,0.13,0.00,0,0,7,8,1,-0.88,0.00,0,0,7,0,-0.88,0.00,3,16,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,,10/23/2000,100.8,,,7
97,20,Sandra Diaz-Twine,0.69,11.56,0.06,6,9,1,89,12,0.75,4.20,10,6,9,0.67,1.48,8.89,39,1,2,3,0.75,0.25,4.89,1,0,8,0,9,0,0.00,7,2,8,3,15,5,0.333,0,0,0,2,0.17,10,0.83,F,7/30/1974,,,,2,3
188,20,Parvati Shallow,3.71,11.56,0.32,3,10,4,89,12,0.83,2.92,9,3,9,0.33,1.48,8.63,39,2,3,2,0.83,0.17,6.63,1,0,8,3,9,3,0.33,7,1,8,4,15,5,0.333,0,0,0,3,0.25,6,0.67,F,9/21/1982,,,,4,8
24,20,Jerri Manthey,3.00,11.56,0.26,2,9,4,89,12,0.75,2.63,9,0,9,0,1.01,5.63,38,4,2,3,0.75,0.25,5.63,1,1,8,1,9,2,0.22,7,3,8,4,15,7,0.467,0,0,0,3,0.25,7,0.64,F,,,,,5,9
283,20,Russell Hantz,2.68,11.56,0.23,2,11,5,89,12,0.91,2.85,10,0,9,0.00,1.14,5.53,39,3,3,1,0.92,0.08,5.53,1,0,8,2,9,2,0.22,7,2,8,3,15,5,0.333,0,0,0,2,0.17,8,0.80,M,,,,,,5
168,20,Danielle DiLorenzo,2.19,7.56,0.29,3,7,4,74,9,0.77,2.72,7,0,9,0,1.06,4.92,33,7,3,2,0.78,0.22,4.92,0,0,5,1,5,1,0.20,7,4,8,3,15,7,0.467,0,0,0,2,0.22,6,0.75,F,,,,,,4
190,20,Candice Woodcock,2.23,7.56,0.29,0,5,5,67,8,0.62,1.94,7,0,9,0,0.91,4.17,31,8,3,3,0.63,0.38,4.17,0.5,0,4,1,4.5,1,0.22,7,3,8,4,15,7,0.467,0,0,0,1,0.13,6,0.86,F,,,,,,5
58,20,Boston Rob Mariano,2.80,3.43,0.82,0,1,5,27,3,0.27,1.04,1,0,9,0,1.09,3.84,18,13,2,2,0.33,0.67,3.84,0.5,0.5,1,1,1.5,1.5,1.00,4,2,6,4,10,6,0.600,0,0,0,2,0.67,-1,-0.25,M,,,,,,5
266,20,J.T. Thomas,1.23,4.23,0.29,0,5,5,50,6,0.82,2.59,5,0,9,0,1.11,3.82,27,10,2,1,0.83,0.17,3.82,0,0,2,0,2,0,0.00,6,3,8,4,14,7,0.500,0,0,0,1,0.17,5,0.83,M,,,,,,5
170,20,Cirie Fields,0.23,0.72,0.31,1,2,3,27,3,0.63,2.67,2,0,9,0,0.94,2.89,11,17,3,1,0.67,0.33,2.89,0,0,0,0,0,0,#DIV/0!,2,1,4,1,6,2,0.333,0,0,0,1,0.33,2,0.67,F,,,,,,3
18,20,Colby Donaldson,1.56,10.56,0.15,1,5,7,85,11,0.45,1.16,8,0,9,0,0.59,2.72,37,5,2,6,0.45,0.55,2.72,1,0,7,0,8,0,0.00,7,4,8,4,15,8,0.533,0,0,0,3,0.27,8,0.73,M,4/1/1974,,,,,7
224,20,Amanda Kimmel,1.56,5.56,0.28,0,4,10,59,7,0.55,1.14,4,0,9,0,0.83,2.70,30,9,2,3,0.57,0.43,2.70,0,0,3,0,3,0,0.00,7,4,8,4,15,8,0.533,0,0,0,3,0.43,4,0.57,F,,,,,,10
273,20,Tyson Apostol,0.66,2.03,0.33,1,1,3,19,2,0.42,2.00,1,0,9,0,0.75,2.66,15,15,2,1,0.50,0.50,2.66,0,0,1,0,1,0,0.00,3,2,5,3,8,5,0.625,0,0,0,1,0.50,1,0.50,M,,,,,,3
104,20,Rupert Boneham,1.23,9.56,0.13,1,6,10,80,10,0.59,1.20,7,0,9,0,0.72,2.43,36,6,3,4,0.60,0.40,2.43,1,0,6,0,7,0,0.00,7,3,8,4,15,7,0.467,0,0,0,3,0.30,7,0.70,M,1/27/1964,,,,,10
131,20,Tom Westman,0.23,1.03,0.22,0,2,5,34,4,0.46,1.56,2,0,9,0,0.68,1.78,14,16,3,2,0.50,0.50,1.78,0,0,0,0,0,0,#DIV/0!,3,1,5,1,8,2,0.250,0,0,0,2,0.50,2,0.50,M,,,,,3,8
228,20,James Clement,0.23,2.03,0.11,0,3,7,40,5,0.57,1.53,3,0,9,0,0.68,1.75,15,14,2,2,0.60,0.40,1.75,0,0,1,0,1,0,0.00,3,1,5,1,8,2,0.250,0,0,0,2,0.40,3,0.60,M,,,,,,7
270,20,Coach Wade,0.80,2.83,0.28,0,1,4,34,4,0.22,0.88,3,0,9,0,0.50,1.68,21,12,2,3,0.25,0.75,1.68,0,0,1,0,1,0,0.00,5,2,7,4,12,6,0.500,0,0,0,1,0.25,3,0.75,M,,,,,,4
137,20,Stephenie LaGrossa,0.10,0.33,0.31,0,1,6,19,2,0.34,1.40,1,0,9,0,0.65,1.50,6,19,3,1,0.50,0.50,1.50,0,0,0,0,0,0,#DIV/0!,1,1,2,0,3,1,0.333,0,0,0,1,0.50,1,0.50,F,12/6/1979,,,,,6
223,20,Courtney Yates,0.57,3.23,0.18,6,2,9,40,5,0.36,0.86,2,0,9,0,0.53,1.43,24,11,2,3,0.40,0.60,1.43,0,0,1,0,1,0,0.00,6,2,8,2,14,4,0.286,0,0,0,3,0.60,2,0.40,F,,,,,,9
255,20,Randy Bailey,0.10,0.45,0.22,1,0,9,10,1,-0.90,0.00,0,0,9,0,-0.68,0.10,8,18,3,1,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,1,0,3,1,4,1,0.250,0,0,0,1,1.00,0,0.00,M,3/31/1959,,,,,9
250,20,Sugar Kiper,0.10,0.20,0.50,0,0,9,10,1,-0.90,0.00,0,0,9,0,-0.40,0.10,3,20,2,1,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,1,1,1,0,2,1,0.500,0,0,0,1,1.00,0,0.00,F,2/22/1979,,,,,9
302,21,Fabio Birza,5.86,11.68,0.50,0,6,2,79,10,0.60,2.80,7,5,9,0.556,1.65,11.99,39,1,1,4,0.60,0.40,8.66,2,0,8,4,10,4,0.40,5,2,6,4,11,6,0.545,0,0,0,3,0.30,3,0.50,M,,,,,,2
303,21,Chase Rice,3.24,11.68,0.28,1,10,1,79,10,1.00,5.60,7,4,9,0.444,1.72,11.51,39,2,1,0,1.00,0.00,8.84,2,2,8,0,10,2,0.20,5,4,6,4,11,8,0.727,0,0,0,3,0.30,5,0.50,M,,,,,,1
304,21,Sash Lenahan,1.66,11.68,0.14,1,9,1,79,10,0.90,5.04,7,0,9,0.000,1.04,6.70,39,3,1,1,0.90,0.10,6.70,2,0,8,1,10,1,0.10,5,1,6,4,11,5,0.455,0,0,0,3,0.30,6,0.67,M,,,,,1,2
305,21,Holly Hoffman,1.82,12.18,0.15,0,10,4,96,12,0.83,2.92,8,0,9,0,0.98,4.74,38,4,1,2,0.83,0.17,4.74,2.5,0,8,1,10.5,1,0.10,5,3,6,2,11,5,0.455,0,0,0,4,0.33,7,0.64,F,,,,,,4
306,21,Dan Lembo,0.77,10.68,0.07,2,8,9,92,11,0.72,1.57,6,0,9,0,0.79,2.34,37,5,1,3,0.73,0.27,2.34,2,0,7,0,9,0,0.00,5,3,6,2,11,5,0.455,0,0,0,5,0.45,6,0.55,M,,,,,,9
307,21,Jane Hammett Bright,2.44,9.68,0.25,1,5,11,87,10,0.49,0.93,6,0,9,0,0.74,3.37,36,6,1,5,0.50,0.50,3.37,2,0,6,2,8,2,0.25,5,1,6,2,11,3,0.273,0,0,0,4,0.40,4,0.50,F,,,,,,11
308,21,"Ben ""Benry"" Henry",1.24,7.68,0.16,0,5,5,65,7,0.70,2.22,4,0,9,0,0.87,3.47,32,7,1,2,0.71,0.29,3.47,1,0,5,0,6,0,0.00,5,4,6,4,11,8,0.727,0,0,0,3,0.43,4,0.57,M,,,,,,5
309,21,Purple Kelly Shinn *,0.54,5.68,0.09,1,5,0,58,6,0.70,1.67,5,0,9,0,0.79,2.20,28,8,1,1,0.83,0.17,2.20,0,0,4,0,4,0,0.00,5,1,6,3,11,4,0.364,0,0,0,1,0.17,5,0.83,F,,,,,,0
310,21,NaOnka Mixon *,1.24,5.68,0.22,1,6,3,58,6,0.83,1.50,3,0,9,0,1.05,2.74,28,9,1,0,1.00,0.00,2.74,0,0,4,0,4,0,0.00,5,4,6,4,11,8,0.727,0,0,0,3,0.50,3,0.50,F,,,,,,3
311,21,Brenda Lowe,1.46,5.43,0.27,0,5,13,58,6,0.80,1.37,3,0,9,0,1.07,2.83,27,10,1,1,0.83,0.17,2.83,0,0,4,1,4,1,0.25,4,0,6,4,10,4,0.400,0,0,0,3,0.50,2,0.40,F,,,,,,13
312,21,Marty Piombo,0.44,4.23,0.10,0,4,14,65,7,0.54,0.89,3,0,9,0,0.64,1.33,24,11,1,3,0.57,0.43,1.33,0,0,3,0,3,0,0.00,3,1,6,2,9,3,0.333,0,0,0,4,0.57,3,0.43,M,,,,,,14
313,21,Alina Wilson,0.79,3.03,0.26,0,2,10,37,4,0.43,1.00,2,0,9,0,0.69,1.79,22,12,1,2,0.50,0.50,1.79,0,0,2,0,2,0,0.00,2,2,6,4,8,6,0.750,0,0,0,2,0.50,2,0.50,F,,,,,,10
314,21,Jill Behm,1.74,2.53,0.69,0,3,3,42,5,0.59,2.40,3,0,9,0,1.27,4.14,18,13,1,2,0.60,0.40,4.14,0.5,0.5,1,1,1.5,1.5,1.00,2,0,6,2,8,2,0.250,0,0,0,2,0.40,2,0.38,F,,,,,,3
315,21,Yve Rojas,0.24,1.70,0.14,0,4,7,42,5,0.77,2.04,3,0,9,0,0.91,2.27,15,14,1,1,0.80,0.20,2.27,0,0,1,0,1,0,0.00,1,1,5,1,6,2,0.333,0,0,0,2,0.40,3,0.60,F,,,,,,7
316,21,Kelly Bruno,0.34,1.70,0.20,1,1,3,18,2,0.42,2.00,1,0,9,0,0.61,2.34,15,15,1,1,0.50,0.50,2.34,0,0,1,0,1,0,0.00,1,0,5,3,6,3,0.500,0,0,0,1,0.50,1,0.50,F,,,,,,3
317,21,Tyrone Davis,0.24,0.70,0.34,0,3,6,35,4,0.71,2.10,3,0,9,0,1.05,2.34,14,16,1,1,0.75,0.25,2.34,0,0,0,0,0,0,#DIV/0!,1,1,5,1,6,2,0.333,0,0,0,1,0.25,3,0.75,M,,,,,,6
318,21,Jimmy Tarantino,0.11,0.45,0.25,0,2,5,27,3,0.60,2.07,2,0,9,0,0.85,2.19,11,17,1,1,0.67,0.33,2.19,0,0,0,0,0,0,#DIV/0!,0,0,4,1,4,1,0.250,0,0,0,1,0.33,2,0.67,M,,,,,,5
319,21,Jimmy Johnson,0.11,0.32,0.34,0,1,8,19,2,0.29,1.17,1,0,9,0,0.63,1.28,8,18,1,1,0.50,0.50,1.28,0,0,0,0,0,0,#DIV/0!,0,0,3,1,3,1,0.333,0,0,0,1,0.50,1,0.50,M,,,,,,8
320,21,Shannon Elkins,0.10,0.21,0.47,0,0,7,10,1,-0.70,0.00,0,0,9,0,-0.23,0.10,6,19,1,1,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,0,0,2,1,2,1,0.500,0,0,0,1,1.00,0,0.00,M,,,,,,7
321,21,Wendy Jo DeSmidt-Kohlhoff,0.00,0.10,0.00,0,0,9,10,1,-0.90,0.00,0,0,9,0,-0.90,0.00,3,20,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,,,,,,9
58,22,Boston Rob Mariano,4.64,11.02,0.42,0,12,6,99,13,0.92,2.58,10,8,9,0.89,2.23,12.56,39,1,4,1,0.92,0.08,7.23,0,0,10,4,10,4,0.40,0,0,7,4,7,4,0.571,0,0,0,3,0.23,6,0.67,M,,,,,1,7
322,22,Natalie Tenerelli,1.64,11.02,0.15,0,12,1,99,13,0.92,5.17,12,0,9,0.00,1.07,6.81,39,3,1,1,0.92,0.08,6.81,0,0,10,1,10,1,0.10,0,0,7,4,7,4,0.571,0,0,0,1,0.08,11,0.92,F,,,,,,1
323,22,Ashley Underwood,2.64,11.02,0.24,0,11,3,99,13,0.84,3.38,12,0,9,0.00,1.08,6.03,38,4,1,2,0.85,0.15,6.03,0,0,10,2,10,2,0.20,0,0,7,4,7,4,0.571,0,0,0,1,0.08,10,0.91,F,,,,,,3
324,22,Matt Elrod,3.50,5.74,0.61,0,1,10,27,3,0.21,0.67,1,0,9,0.00,0.82,4.92,36,8,1,2,0.33,0.67,4.17,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,29,2,0.67,1,0.33,M,,,,,,10
325,22,Grant Mattos,2.64,9.52,0.28,0,9,10,90,11,0.81,1.64,8,0,9,0.00,1.09,4.28,36,6,1,2,0.82,0.18,4.28,0,0,8,2,8,2,0.25,0,0,7,4,7,4,0.571,0,0,1,3,0.27,6,0.67,M,,,,,,10
326,22,Mike Chiesl,1.88,5.52,0.34,0,4,6,53,6,0.65,1.87,5,0,9,0.00,0.99,4.00,36,7,1,2,0.67,0.33,3.75,0,0,2,0,2,0,0.00,0,0,7,3,7,3,0.429,0,0,14,1,0.17,5,0.83,M,,,,,,6
327,22,Andrea Boehlke,2.14,10.02,0.21,0,7,9,90,11,0.63,1.37,9,0,9,0.00,0.84,3.64,37,5,1,4,0.64,0.36,3.51,0,0,8,1,8,1,0.13,0,0,7,4,7,4,0.571,0,0,4,2,0.18,8,0.80,F,,,,,,9
328,22,Phillip Sheppard,0.64,11.02,0.06,0,12,17,99,13,0.91,1.23,6,1,9,0.11,1.08,2.54,39,2,1,1,0.92,0.08,1.87,0,0,10,0,10,0,0.00,0,0,7,4,7,4,0.571,0,0,0,7,0.54,6,0.46,M,,,,,,17
329,22,Sarita White,0.38,1.52,0.25,2,2,6,30,4,0.45,1.40,2,0,9,0.00,0.70,1.78,19,13,1,2,0.50,0.50,1.78,0,0,0,0,0,0,#DIV/0!,0,0,7,3,7,3,0.429,0,0,1,2,0.50,2,0.50,F,,,,,,6
330,22,Julie Wolfe,0.38,5.52,0.07,1,3,6,72,8,0.36,1.05,7,0,9,0.00,0.43,1.43,28,11,1,5,0.38,0.63,1.43,0,0,4,0,4,0,0.00,0,0,7,3,7,3,0.429,0,0,1,1,0.13,7,0.88,F,,,,,,6
331,22,Steve Wright,0.38,7.52,0.05,1,4,9,87,10,0.39,0.86,7,0,9,0.00,0.44,1.24,31,10,1,6,0.40,0.60,1.24,0,0,6,0,6,0,0.00,0,0,7,3,7,3,0.429,0,0,1,3,0.30,7,0.70,M,,,,,,9
332,22,Ralph Kiser,0.38,7.02,0.05,1,3,9,80,9,0.32,0.72,7,0,9,0.00,0.37,1.22,33,9,1,6,0.33,0.67,1.10,0,0,5,0,5,0,0.00,0,0,7,3,7,3,0.429,0,0,3,2,0.22,7,0.78,M,,,,,,9
333,22,David Murphy,0.25,4.52,0.06,1,2,8,63,7,0.27,0.67,5,0,9,0.00,0.32,0.92,27,12,1,5,0.29,0.71,0.92,0,0,3,0,3,0,0.00,0,0,7,2,7,2,0.286,0,0,1,2,0.29,5,0.71,M,,,,,,8
334,22,Stephanie Valencia,0.38,1.36,0.28,0,0,8,24,3,-0.11,0.00,1,0,9,0.00,0.17,0.38,17,14,1,3,0.00,1.00,0.38,0,0,0,0,0,0,#DIV/0!,0,0,6,3,6,3,0.500,0,0,1,2,0.67,1,0.33,F,,,,,,8
335,22,Krista Klumpp,0.24,1.19,0.20,1,0,6,17,2,-0.18,0.00,1,0,9,0.00,0.02,0.24,14,15,1,2,0.00,1.00,0.24,0,0,0,0,0,0,#DIV/0!,0,0,5,2,5,2,0.400,0,0,1,1,0.50,1,0.50,F,,,,,,6
283,22,Russell Hantz,0.24,0.88,0.27,0,0,3,9,1,-0.33,0.00,0,0,9,0.00,-0.06,0.24,10,17,3,1,0.00,1.00,0.24,0,0,0,0,0,0,#DIV/0!,0,0,3,2,3,2,0.667,0,0,2,1,1.00,0,0.00,M,,,,,,3
336,22,Kristina Kell,0.14,1.02,0.14,0,0,7,22,3,-0.11,0.00,0,0,9,0.00,0.03,0.14,12,16,1,3,0.00,1.00,0.14,0,0,0,0,0,0,#DIV/0!,0,0,4,1,4,1,0.250,0,0,1,3,1.00,0,0.00,F,,,,,2,9
337,22,Francesca Hogi,0.00,0.61,0.00,0,0,4,9,1,-0.44,0.00,0,0,9,0.00,-0.44,0.00,6,18,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,3,1,1.00,0,0.00,F,,,,,,4
270,23,Coach Wade,1.55,11.48,0.13,0,13,0,101,13,1.00,7.00,13,3,9,0.33,1.47,10.55,39,2,1,0,1.00,0.00,8.55,0.5,0,10,1,10.5,1,0.10,0,0,7,4,7,4,0.571,0,0,0,0,0.00,12,1.00,M,,,,,,0
338,23,Sophie Clarke,3.55,10.98,0.32,0,11,5,101,13,0.84,2.63,10,6,9,0.67,1.83,10.18,39,1,3,2,0.85,0.15,6.18,0,0,10,3,10,3,0.30,0,0,7,4,7,4,0.571,0,0,0,3,0.23,7,0.70,F,,,,,,5
339,23,Albert Destrade,1.55,10.98,0.14,0,11,1,101,13,0.85,4.74,12,0,9,0.00,0.99,6.28,39,3,1,2,0.85,0.15,6.28,0,0,10,1,10,1,0.10,0,0,7,4,7,4,0.571,0,0,0,1,0.08,11,0.92,M,,,,,,1
