,contestant,Fake_contestant,PID,Fake_PID,Sex,Fake_Sex
686,David Wright,Pamela Harris,481,BXGO37879845195849,M,Sex 1
687,Keith Sowell,Craig Morgan,568,WQYT43387100080577,M,Sex 1
688,Wendy Diaz,Mr Philip Henry,569,XABW42059494067055,F,Sex 2
689,Aubry Bracco,Gillian Hughes,467,TALN57667719180647,F,Sex 2
690,Reem Daly,Mr Jack Doyle,570,MEKR13881738953082,F,Sex 2
691,Tommy Sheehan,Miss Chloe Jones,571,SEYX88228004715857,M,Sex 1
692,Dean Kowalski,Bruce Marshall,572,PFMN32563045007051,M,Sex 1
693,Noura Salman,Marc Yates,573,KCVY25293606166857,F,Sex 2
694,Lauren Beck,Carole Marshall,574,NRHW70060226006000,F,Sex 2
695,Missy Byrd,Anne Griffiths,575,LBZK77089793664058,F,Sex 2
696,Aaron Meredith,Eric Bowen,576,WFHL83290140540637,M,Sex 1
697,Elizabeth Beisel,Hilary Jones,577,FEQG59120728045620,F,Sex 2
698,Jason Linden,Bryan Marshall,578,QQYN32322600352672,M,Sex 1
699,Elaine Stott,Brandon Cooke,579,XSSQ41487050028332,F,Sex 2
700,Janet Carbin,Gregory Patterson,580,OBBG78853453510742,F,Sex 2
701,Dan Spilo*,Ben Warner,581,ZWOK05973563211739,M,Sex 1
702,Jack Nichting,Mr Marcus Little,582,GVTI30594158640523,F,Sex 2
703,Chelsea Walker,Mr Edward Sutton,583,YWLK03279928075353,M,Sex 1
704,Kellee Kim,Samantha Webb-Robertson,584,UBWO05991513745728,F,Sex 2
705,Tom Laidlaw,Bradley Kennedy,585,ZNFU35736533403914,M,Sex 1
706,Vince Moua,Glenn Mason,586,TNNY50250447577426,M,Sex 1
707,Jamal Shipman,Rita Allan,587,MOXC64090294482101,M,Sex 1
708,Karishma Patel,Bryan Robertson-Robinson,588,TYWI33301625168790,F,Sex 2
709,Molly Byman,Holly Lucas-Field,589,NELO51502466731106,F,Sex 2
710,Ronnie Bardah,Mr Nigel Jones,590,ZYNR01168623191294,M,Sex 1
711,Tony Vlachos,Lisa Lawrence,407,MSIS89335002517012,M,Sex 1
712,Michele Fitzgerald,Miss Katie Reynolds,476,GSEL96943672144707,F,Sex 2
713,Denise Stapley,Maria Phillips,372,LYHL51859180642230,F,Sex 2
714,Natalie Anderson,Simon Patel,425,SAYK59473869176639,F,Sex 2
715,Sandra Diaz-Twine,Phillip Jones,97,QOFT04722456176176,F,Sex 2
716,Ben Driebergen,Louise Hobbs-Fox,499,HOXJ62011505035579,F,Sex 2
717,Sarah Lacina,Jay Woodward,416,BHZY51221686553280,M,Sex 1
718,Yul Kwon,Mr Samuel Cartwright,183,MHPU90450850694255,M,Sex 1
719,Nick Wilson,Mrs Marian Banks,537,OXMC52206997864241,M,Sex 1
720,Sophie Clarke,Hugh Jenkins,338,BBTJ14982862698141,M,Sex 1
721,Kim Spradlin,Tony Parker-Taylor,354,VHME01466469355985,F,Sex 2
722,Jeremy Collins,Mr Andrew Lawrence,429,UCTW53745720091492,F,Sex 2
723,Ethan Zohn,Connor Hancock,33,VIJB45047750246974,M,Sex 1
724,Tyson Apostol,Amanda Goodwin,273,DNIQ75337037627640,M,Sex 1
725,Wendell Holland,Dominic Byrne,518,NSNO98540169838371,M,Sex 1
726,Parvati Shallow,Stacey Thomas,188,DRDG12020830356998,F,Sex 2
727,Boston Rob Mariano,Dorothy Stewart,58,OMKO66861483762726,M,Sex 1
728,Adam Klein,Terry Curtis,479,MAWS52189783150140,M,Sex 1
729,Danni Boatwright,Tracy Davies-Collins,151,GQGD26886212448373,F,Sex 2
730,Amber Mariano,Dr Anthony Martin,22,LHWW84854476163251,F,Sex 2
